Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;19;male;2;Halb-Coop;0.03;3.06;3.02;True;+1;False
1;19;male;2;Halb-Coop;3.06;5.13;2.08;True;+1;False
2;19;male;2;Halb-Coop;5.13;7.87;2.73;True;+1;False
3;19;male;2;Halb-Coop;7.87;9.32;1.46;False;+1;False
4;19;male;2;Halb-Coop;9.32;12.00;2.68;False;+1;False
5;19;male;2;Halb-Coop;12.00;14.40;2.39;False;+1;False
6;19;male;2;Halb-Coop;14.40;17.13;2.74;False;+1;False
7;19;male;2;Halb-Coop;17.13;19.44;2.31;False;+1;False
8;19;male;2;Halb-Coop;19.44;21.35;1.91;False;+1;False
9;19;male;2;Halb-Coop;21.35;23.74;2.38;False;+1;False
10;19;male;2;Halb-Coop;23.74;25.85;2.11;False;+1;False
11;19;male;2;Halb-Coop;25.85;27.43;1.58;False;+1;False
12;19;male;2;Halb-Coop;27.43;29.04;1.61;False;+1;False
13;19;male;2;Halb-Coop;29.04;32.94;3.90;False;+1;False
14;19;male;2;Halb-Coop;32.94;35.98;3.04;False;0;False
15;19;male;2;Halb-Coop;35.98;37.67;1.69;True;+1;False
16;19;male;2;Halb-Coop;37.67;39.90;2.23;True;+1;False
17;19;male;2;Halb-Coop;39.90;42.26;2.36;True;+1;False
18;19;male;2;Halb-Coop;42.26;44.47;2.21;False;+1;False
19;19;male;2;Halb-Coop;44.47;45.93;1.46;False;+1;False
20;19;male;2;Halb-Coop;45.93;48.10;2.17;False;+1;False
21;19;male;2;Halb-Coop;48.10;53.40;5.30;True;+1;False
22;19;male;2;Halb-Coop;53.40;56.68;3.28;True;+1;False
23;19;male;2;Halb-Coop;56.68;58.84;2.16;True;+1;False
24;19;male;2;Halb-Coop;58.84;60.54;1.70;True;+1;False
25;19;male;2;Halb-Coop;60.54;62.50;1.96;False;+1;False
26;19;male;2;Halb-Coop;62.50;64.92;2.42;False;+1;False
27;19;male;2;Halb-Coop;64.92;66.36;1.44;False;+1;False
28;19;male;2;Halb-Coop;66.36;68.34;1.98;False;+1;False
29;19;male;2;Halb-Coop;68.34;70.40;2.05;False;+1;False
30;19;male;2;Halb-Coop;70.40;72.19;1.80;False;+1;False
31;19;male;2;Halb-Coop;72.19;73.84;1.64;False;+1;False
32;19;male;2;Halb-Coop;73.84;75.15;1.31;False;+1;False
33;19;male;2;Halb-Coop;75.15;76.92;1.77;False;+1;False
34;19;male;2;Halb-Coop;76.92;78.77;1.85;False;+1;False
35;19;male;2;Halb-Coop;78.77;80.47;1.70;False;+1;False
36;19;male;2;Halb-Coop;80.47;83.67;3.20;False;+1;False
37;19;male;2;Halb-Coop;83.67;85.72;2.05;True;+1;False
38;19;male;2;Halb-Coop;85.72;87.08;1.37;False;+1;False
39;19;male;2;Halb-Coop;87.08;89.13;2.05;False;+1;False
40;19;male;2;Halb-Coop;89.13;91.39;2.26;False;+1;False
41;19;male;2;Halb-Coop;91.39;94.10;2.71;True;+1;False
42;19;male;2;Halb-Coop;94.10;96.01;1.91;True;+1;False
43;19;male;2;Halb-Coop;96.01;97.31;1.30;False;+1;False
44;19;male;2;Halb-Coop;97.31;99.95;2.64;False;+1;False
45;19;male;2;Halb-Coop;99.95;102.65;2.70;True;+1;False
46;19;male;2;Halb-Coop;102.65;104.44;1.79;True;+1;False
47;19;male;2;Halb-Coop;104.44;106.28;1.84;False;+1;False
48;19;male;2;Halb-Coop;106.28;108.75;2.48;False;+1;False
49;19;male;2;Halb-Coop;108.75;111.40;2.65;True;+1;False
50;19;male;2;Halb-Coop;111.40;113.38;1.97;True;+1;False
51;19;male;2;Halb-Coop;113.38;115.04;1.66;False;+1;False
52;19;male;2;Halb-Coop;115.04;116.79;1.75;False;+1;False
53;19;male;2;Halb-Coop;116.79;118.50;1.71;False;+1;False
