Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;13;male;4;Singleplayer;0.00;1.11;1.11;True;+1;False
1;13;male;4;Singleplayer;1.11;2.26;1.15;True;+1;False
2;13;male;4;Singleplayer;2.26;3.39;1.12;True;+1;False
3;13;male;4;Singleplayer;3.39;9.51;6.13;True;+1;False
4;13;male;4;Singleplayer;9.51;11.28;1.77;True;+1;False
5;13;male;4;Singleplayer;11.28;13.62;2.33;True;+1;False
6;13;male;4;Singleplayer;13.62;14.59;0.98;True;+1;False
7;13;male;4;Singleplayer;14.59;16.07;1.47;True;+1;False
8;13;male;4;Singleplayer;16.07;17.57;1.50;True;+1;False
9;13;male;4;Singleplayer;17.57;18.63;1.07;True;+1;False
10;13;male;4;Singleplayer;18.63;20.07;1.44;True;+1;False
11;13;male;4;Singleplayer;20.07;22.08;2.02;True;+1;False
12;13;male;4;Singleplayer;22.08;23.36;1.28;True;+1;False
13;13;male;4;Singleplayer;23.36;25.42;2.05;True;+1;False
14;13;male;4;Singleplayer;25.42;27.15;1.73;True;+1;False
15;13;male;4;Singleplayer;27.15;28.41;1.26;True;+1;False
16;13;male;4;Singleplayer;28.41;29.97;1.56;True;+1;False
17;13;male;4;Singleplayer;29.97;31.17;1.21;True;+1;False
18;13;male;4;Singleplayer;31.17;32.38;1.21;True;+1;False
19;13;male;4;Singleplayer;32.38;33.39;1.01;True;+1;False
20;13;male;4;Singleplayer;33.39;34.70;1.31;True;+1;False
21;13;male;4;Singleplayer;34.70;36.04;1.34;True;+1;False
22;13;male;4;Singleplayer;36.04;37.40;1.36;True;+1;False
23;13;male;4;Singleplayer;37.40;38.52;1.12;True;+1;False
24;13;male;4;Singleplayer;38.52;41.74;3.21;True;+1;False
25;13;male;4;Singleplayer;41.74;42.78;1.04;True;+1;False
26;13;male;4;Singleplayer;42.78;43.97;1.19;True;+1;False
27;13;male;4;Singleplayer;43.97;45.34;1.37;True;+1;False
28;13;male;4;Singleplayer;45.34;46.81;1.47;True;+1;False
29;13;male;4;Singleplayer;46.81;48.15;1.34;True;+1;False
30;13;male;4;Singleplayer;48.15;49.69;1.54;True;+1;False
31;13;male;4;Singleplayer;49.69;51.03;1.34;True;+1;False
32;13;male;4;Singleplayer;51.03;52.22;1.19;True;+1;False
33;13;male;4;Singleplayer;52.22;54.11;1.89;True;+1;False
34;13;male;4;Singleplayer;54.11;55.87;1.76;True;+1;False
35;13;male;4;Singleplayer;55.87;58.00;2.13;True;+1;False
36;13;male;4;Singleplayer;58.00;60.11;2.12;True;+1;False
37;13;male;4;Singleplayer;60.11;62.03;1.92;True;+1;False
38;13;male;4;Singleplayer;62.03;64.00;1.97;True;+1;False
39;13;male;4;Singleplayer;64.00;65.71;1.70;True;+1;False
40;13;male;4;Singleplayer;65.71;67.04;1.34;True;+1;False
41;13;male;4;Singleplayer;67.04;68.40;1.36;True;+1;False
42;13;male;4;Singleplayer;68.40;69.43;1.03;True;+1;False
43;13;male;4;Singleplayer;69.43;70.59;1.16;True;+1;False
44;13;male;4;Singleplayer;70.59;71.84;1.25;True;+1;False
45;13;male;4;Singleplayer;71.84;74.08;2.23;True;+1;False
46;13;male;4;Singleplayer;74.08;75.27;1.19;True;+1;False
47;13;male;4;Singleplayer;75.27;76.23;0.97;True;+1;False
48;13;male;4;Singleplayer;76.23;77.33;1.10;True;+1;False
49;13;male;4;Singleplayer;77.33;79.55;2.22;True;+1;False
50;13;male;4;Singleplayer;79.55;80.96;1.40;True;+1;False
51;13;male;4;Singleplayer;80.96;82.50;1.54;True;+1;False
52;13;male;4;Singleplayer;82.50;83.94;1.44;True;+1;False
53;13;male;4;Singleplayer;83.94;85.65;1.71;True;+1;False
54;13;male;4;Singleplayer;85.65;87.12;1.47;True;+1;False
55;13;male;4;Singleplayer;87.12;88.66;1.54;True;+1;False
56;13;male;4;Singleplayer;88.66;90.17;1.51;True;+1;False
57;13;male;4;Singleplayer;90.17;91.91;1.75;True;-1;False
58;13;male;4;Singleplayer;91.91;93.52;1.60;True;+1;False
59;13;male;4;Singleplayer;93.52;94.84;1.32;True;+1;False
60;13;male;4;Singleplayer;94.84;96.31;1.48;True;+1;False
61;13;male;4;Singleplayer;96.31;97.92;1.61;True;+1;False
62;13;male;4;Singleplayer;97.92;99.74;1.82;True;+1;False
63;13;male;4;Singleplayer;99.74;101.38;1.64;True;+1;False
64;13;male;4;Singleplayer;101.38;102.80;1.42;True;+1;False
65;13;male;4;Singleplayer;102.80;103.96;1.15;True;+1;False
66;13;male;4;Singleplayer;103.96;104.96;1.01;True;+1;False
67;13;male;4;Singleplayer;104.96;106.35;1.39;True;+1;False
68;13;male;4;Singleplayer;106.35;108.15;1.79;True;+1;False
69;13;male;4;Singleplayer;108.15;110.28;2.14;True;+1;False
70;13;male;4;Singleplayer;110.28;111.49;1.21;True;+1;False
71;13;male;4;Singleplayer;111.49;113.07;1.58;False;+1;False
72;13;male;4;Singleplayer;113.07;115.41;2.34;False;+1;False
73;13;male;4;Singleplayer;115.41;116.60;1.19;False;+1;False
74;13;male;4;Singleplayer;116.60;118.48;1.88;False;+1;False
