Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;5;male;3;Versus 2;0,00;2,04;2,03;True;+1;False
1;5;male;3;Versus 2;2,04;5,41;3,37;True;0;False
2;5;male;3;Versus 2;5,41;6,68;1,27;True;+1;False
3;5;male;3;Versus 2;6,68;8,00;1,32;True;+1;False
4;5;male;3;Versus 2;8,00;10,25;2,25;False;+1;False
5;5;male;3;Versus 2;10,25;12,32;2,08;False;0;False
6;5;male;3;Versus 2;12,32;14,39;2,07;False;+1;False
7;5;male;3;Versus 2;14,39;15,99;1,60;False;+1;False
8;5;male;3;Versus 2;15,99;17,62;1,63;False;+1;False
9;5;male;3;Versus 2;17,62;19,49;1,86;False;+1;False
10;5;male;3;Versus 2;19,49;20,94;1,45;False;+1;False
11;5;male;3;Versus 2;20,94;22,81;1,87;False;+1;False
12;5;male;3;Versus 2;22,81;23,81;1,00;False;+1;False
13;5;male;3;Versus 2;23,81;25,50;1,69;False;+1;False
14;5;male;3;Versus 2;25,50;26,95;1,45;False;+1;False
15;5;male;3;Versus 2;26,95;32,23;5,28;True;+1;False
16;5;male;3;Versus 2;32,23;34,14;1,92;True;+1;False
17;5;male;3;Versus 2;34,14;35,82;1,68;True;+1;False
18;5;male;3;Versus 2;35,82;37,75;1,92;True;+1;False
19;5;male;3;Versus 2;37,75;38,99;1,24;False;+1;False
20;5;male;3;Versus 2;38,99;41,93;2,94;True;+1;False
21;5;male;3;Versus 2;41,93;42,95;1,02;False;+1;False
22;5;male;3;Versus 2;42,95;43,86;0,91;False;+1;False
23;5;male;3;Versus 2;43,86;45,52;1,65;False;+1;False
24;5;male;3;Versus 2;45,52;46,61;1,09;False;-1;False
25;5;male;3;Versus 2;46,61;49,60;2,99;True;+1;False
26;5;male;3;Versus 2;49,60;50,73;1,13;True;+1;False
27;5;male;3;Versus 2;50,73;52,33;1,60;True;+1;False
28;5;male;3;Versus 2;52,33;53,30;0,97;True;-1;False
29;5;male;3;Versus 2;53,30;55,47;2,17;True;+1;False
30;5;male;3;Versus 2;55,47;60,52;5,05;True;0;False
31;5;male;3;Versus 2;60,52;62,13;1,61;True;+1;False
32;5;male;3;Versus 2;62,13;64,24;2,11;True;+1;False
33;5;male;3;Versus 2;64,24;65,66;1,42;True;+1;False
34;5;male;3;Versus 2;65,66;67,15;1,49;True;+1;False
35;5;male;3;Versus 2;67,15;67,99;0,84;True;+1;False
36;5;male;3;Versus 2;67,99;71,45;3,46;True;-1;False
37;5;male;3;Versus 2;71,45;74,90;3,46;True;+1;False
38;5;male;3;Versus 2;74,90;76,42;1,52;True;+1;False
39;5;male;3;Versus 2;76,42;79,11;2,69;True;+1;False
40;5;male;3;Versus 2;79,11;80,45;1,34;True;+1;False
41;5;male;3;Versus 2;80,45;81,77;1,32;True;+1;False
42;5;male;3;Versus 2;81,77;83,41;1,64;True;+1;False
43;5;male;3;Versus 2;83,41;86,58;3,17;True;+1;False
44;5;male;3;Versus 2;86,58;87,52;0,94;True;+1;False
45;5;male;3;Versus 2;87,52;89,93;2,41;True;0;False
46;5;male;3;Versus 2;89,93;91,22;1,29;True;+1;False
47;5;male;3;Versus 2;91,22;93,16;1,93;True;+1;False
48;5;male;3;Versus 2;93,16;94,42;1,27;True;+1;False
49;5;male;3;Versus 2;94,42;97,78;3,36;True;-1;False
50;5;male;3;Versus 2;97,78;98,96;1,18;True;+1;False
51;5;male;3;Versus 2;98,96;101,11;2,15;True;+1;False
52;5;male;3;Versus 2;101,11;103,86;2,75;True;+1;False
53;5;male;3;Versus 2;103,86;107,03;3,17;True;0;False
54;5;male;3;Versus 2;107,03;108,58;1,55;True;+1;False
55;5;male;3;Versus 2;108,58;110,77;2,18;True;-1;False
56;5;male;3;Versus 2;110,77;112,37;1,60;True;+1;False
57;5;male;3;Versus 2;112,37;115,93;3,56;True;+1;False
58;5;male;3;Versus 2;115,93;117,11;1,19;True;+1;False
59;5;male;3;Versus 2;117,11;118,25;1,14;True;+1;False
60;5;male;3;Versus 2;118,25;119,20;0,95;True;-1;False
