Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;1;male;4;Versus 2;0,00;1,28;1,27;True;+1;False
1;1;male;4;Versus 2;1,88;2,91;1,03;False;+1;False
2;1;male;4;Versus 2;3,51;4,56;1,05;False;+1;False
3;1;male;4;Versus 2;5,17;6,39;1,22;False;0;False
4;1;male;4;Versus 2;6,99;8,57;1,58;True;+1;False
5;1;male;4;Versus 2;9,18;10,83;1,66;True;+1;False
6;1;male;4;Versus 2;11,44;12,71;1,27;True;+1;False
7;1;male;4;Versus 2;13,31;14,99;1,68;True;+1;False
8;1;male;4;Versus 2;15,59;16,87;1,28;False;+1;False
9;1;male;4;Versus 2;17,48;18,55;1,07;False;+1;False
10;1;male;4;Versus 2;19,15;20,37;1,22;False;+1;False
11;1;male;4;Versus 2;20,97;22,47;1,49;False;-1;False
12;1;male;4;Versus 2;23,07;25,32;2,25;True;+1;False
13;1;male;4;Versus 2;25,93;28,74;2,81;True;+1;False
14;1;male;4;Versus 2;29,35;31,11;1,77;True;+1;False
15;1;male;4;Versus 2;31,72;32,78;1,06;True;+1;False
16;1;male;4;Versus 2;33,39;34,79;1,40;True;+1;False
17;1;male;4;Versus 2;35,39;36,58;1,19;True;+1;False
18;1;male;4;Versus 2;37,18;38,32;1,14;True;+1;False
19;1;male;4;Versus 2;38,93;40,07;1,14;True;+1;False
20;1;male;4;Versus 2;40,67;41,91;1,23;True;+1;False
21;1;male;4;Versus 2;42,51;43,78;1,27;True;+1;False
22;1;male;4;Versus 2;44,38;45,77;1,39;True;+1;False
23;1;male;4;Versus 2;46,37;47,56;1,19;True;+1;False
24;1;male;4;Versus 2;48,17;49,69;1,52;True;+1;False
25;1;male;4;Versus 2;50,30;52,14;1,84;True;+1;False
26;1;male;4;Versus 2;52,74;53,83;1,08;True;+1;False
27;1;male;4;Versus 2;54,43;55,73;1,30;True;+1;False
28;1;male;4;Versus 2;56,33;57,43;1,09;True;+1;False
29;1;male;4;Versus 2;58,03;59,13;1,10;True;+1;False
30;1;male;4;Versus 2;59,73;60,93;1,20;True;+1;False
31;1;male;4;Versus 2;61,54;62,72;1,18;True;+1;False
32;1;male;4;Versus 2;63,32;64,44;1,12;True;+1;False
33;1;male;4;Versus 2;65,04;66,48;1,44;True;+1;False
34;1;male;4;Versus 2;67,09;68,32;1,23;True;+1;False
35;1;male;4;Versus 2;68,92;70,24;1,32;True;+1;False
36;1;male;4;Versus 2;70,84;72,41;1,57;True;+1;False
37;1;male;4;Versus 2;73,01;74,79;1,77;True;+1;False
38;1;male;4;Versus 2;75,39;76,81;1,42;True;+1;False
39;1;male;4;Versus 2;77,41;78,95;1,54;True;+1;False
40;1;male;4;Versus 2;79,56;80,68;1,12;True;+1;False
41;1;male;4;Versus 2;81,29;82,40;1,11;True;+1;False
42;1;male;4;Versus 2;83,00;84,09;1,09;True;+1;False
43;1;male;4;Versus 2;84,69;85,83;1,14;True;+1;False
44;1;male;4;Versus 2;86,44;87,67;1,24;True;+1;False
45;1;male;4;Versus 2;88,28;89,67;1,39;True;+1;False
46;1;male;4;Versus 2;90,28;91,30;1,02;True;+1;False
47;1;male;4;Versus 2;91,90;92,93;1,03;True;+1;False
48;1;male;4;Versus 2;93,53;94,61;1,08;True;+1;False
49;1;male;4;Versus 2;95,21;96,82;1,60;True;+1;False
50;1;male;4;Versus 2;97,42;98,72;1,30;True;+1;False
51;1;male;4;Versus 2;99,32;100,84;1,51;True;+1;False
52;1;male;4;Versus 2;101,45;102,63;1,19;True;+1;False
53;1;male;4;Versus 2;103,24;104,77;1,53;True;+1;False
54;1;male;4;Versus 2;105,37;107,47;2,10;True;+1;False
55;1;male;4;Versus 2;108,07;109,76;1,69;True;+1;False
56;1;male;4;Versus 2;110,37;111,72;1,35;True;+1;False
57;1;male;4;Versus 2;112,32;113,62;1,30;True;+1;False
58;1;male;4;Versus 2;114,22;115,16;0,94;True;+1;False
59;1;male;4;Versus 2;115,76;117,02;1,26;True;+1;False
60;1;male;4;Versus 2;117,62;118,93;1,31;True;+1;False
