Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;1;male;1;Singleplayer;0,00;1,66;1,65;False;+1;False
1;1;male;1;Singleplayer;2,26;3,71;1,45;False;+1;False
2;1;male;1;Singleplayer;4,31;5,91;1,60;False;+1;False
3;1;male;1;Singleplayer;6,51;7,81;1,30;False;+1;False
4;1;male;1;Singleplayer;8,42;9,67;1,25;False;+1;False
5;1;male;1;Singleplayer;10,27;11,42;1,14;False;+1;False
6;1;male;1;Singleplayer;12,02;13,25;1,24;False;+1;False
7;1;male;1;Singleplayer;13,86;15,83;1,97;False;+1;False
8;1;male;1;Singleplayer;16,43;17,62;1,19;False;+1;False
9;1;male;1;Singleplayer;18,22;19,42;1,20;False;+1;False
10;1;male;1;Singleplayer;20,03;21,81;1,79;False;+1;False
11;1;male;1;Singleplayer;22,42;23,76;1,34;False;+1;False
12;1;male;1;Singleplayer;24,36;25,69;1,33;False;+1;False
13;1;male;1;Singleplayer;26,30;27,45;1,16;False;+1;False
14;1;male;1;Singleplayer;28,06;29,88;1,82;False;+1;False
15;1;male;1;Singleplayer;30,48;31,66;1,18;False;+1;False
16;1;male;1;Singleplayer;32,27;33,91;1,64;False;+1;False
17;1;male;1;Singleplayer;34,51;36,16;1,65;False;+1;False
18;1;male;1;Singleplayer;36,76;38,07;1,31;False;+1;False
19;1;male;1;Singleplayer;38,68;40,06;1,39;False;+1;False
20;1;male;1;Singleplayer;40,67;42,13;1,47;False;+1;False
21;1;male;1;Singleplayer;42,74;44,17;1,44;False;+1;False
22;1;male;1;Singleplayer;44,78;46,29;1,51;False;+1;False
23;1;male;1;Singleplayer;46,89;48,54;1,65;False;+1;False
24;1;male;1;Singleplayer;49,14;51,25;2,10;False;+1;False
25;1;male;1;Singleplayer;51,85;54,93;3,08;False;+1;False
26;1;male;1;Singleplayer;55,54;57,05;1,51;False;+1;False
27;1;male;1;Singleplayer;57,65;58,86;1,21;False;+1;False
28;1;male;1;Singleplayer;59,47;61,20;1,73;False;+1;False
29;1;male;1;Singleplayer;61,81;63,13;1,33;False;+1;False
30;1;male;1;Singleplayer;63,74;65,33;1,60;False;+1;False
31;1;male;1;Singleplayer;65,94;67,26;1,32;False;+1;False
32;1;male;1;Singleplayer;67,86;69,01;1,15;False;+1;False
33;1;male;1;Singleplayer;69,61;71,20;1,58;False;+1;False
34;1;male;1;Singleplayer;71,80;72,91;1,11;False;+1;False
35;1;male;1;Singleplayer;73,51;74,73;1,21;False;+1;False
36;1;male;1;Singleplayer;75,33;76,64;1,31;False;+1;False
37;1;male;1;Singleplayer;77,24;78,57;1,33;False;+1;False
38;1;male;1;Singleplayer;79,18;80,33;1,15;False;+1;False
39;1;male;1;Singleplayer;80,93;82,69;1,76;False;+1;False
40;1;male;1;Singleplayer;83,29;86,21;2,92;False;+1;False
41;1;male;1;Singleplayer;86,82;88,46;1,64;False;+1;False
42;1;male;1;Singleplayer;89,06;90,47;1,41;False;+1;False
43;1;male;1;Singleplayer;91,08;93,82;2,74;False;+1;False
44;1;male;1;Singleplayer;94,43;95,53;1,10;False;+1;False
45;1;male;1;Singleplayer;96,13;97,77;1,64;False;+1;False
46;1;male;1;Singleplayer;98,37;100,10;1,73;False;+1;False
47;1;male;1;Singleplayer;100,70;102,41;1,71;False;+1;False
48;1;male;1;Singleplayer;103,02;104,63;1,61;False;+1;False
49;1;male;1;Singleplayer;105,24;107,07;1,83;False;+1;False
50;1;male;1;Singleplayer;107,67;109,20;1,53;False;+1;False
51;1;male;1;Singleplayer;109,80;110,94;1,14;False;+1;False
52;1;male;1;Singleplayer;111,55;113,21;1,66;False;+1;False
53;1;male;1;Singleplayer;113,81;115,11;1,30;False;+1;False
54;1;male;1;Singleplayer;115,71;117,06;1,34;False;+1;False
55;1;male;1;Singleplayer;117,66;118,82;1,16;False;+1;False
