Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;4;male;2;Singleplayer;0.00;2.85;2.85;True;+1;False
1;4;male;2;Singleplayer;2.85;5.80;2.95;True;+1;False
2;4;male;2;Singleplayer;5.80;7.49;1.69;True;+1;False
3;4;male;2;Singleplayer;7.49;8.51;1.01;True;+1;False
4;4;male;2;Singleplayer;8.51;10.07;1.56;True;+1;False
5;4;male;2;Singleplayer;10.07;11.84;1.77;True;+1;False
6;4;male;2;Singleplayer;11.84;13.83;1.99;True;+1;False
7;4;male;2;Singleplayer;13.83;15.43;1.60;True;+1;False
8;4;male;2;Singleplayer;15.43;16.52;1.09;True;+1;False
9;4;male;2;Singleplayer;16.52;18.02;1.50;True;+1;False
10;4;male;2;Singleplayer;18.02;22.60;4.58;True;+1;False
11;4;male;2;Singleplayer;22.60;23.77;1.16;True;+1;False
12;4;male;2;Singleplayer;23.77;25.25;1.48;True;+1;False
13;4;male;2;Singleplayer;25.25;26.52;1.27;True;+1;False
14;4;male;2;Singleplayer;26.52;29.20;2.68;True;+1;False
15;4;male;2;Singleplayer;29.20;30.43;1.23;True;+1;False
16;4;male;2;Singleplayer;30.43;32.79;2.36;True;+1;False
17;4;male;2;Singleplayer;32.79;34.60;1.82;True;+1;False
18;4;male;2;Singleplayer;34.60;35.81;1.21;True;+1;False
19;4;male;2;Singleplayer;35.81;36.75;0.93;True;+1;False
20;4;male;2;Singleplayer;36.75;38.51;1.76;True;+1;False
21;4;male;2;Singleplayer;38.51;40.21;1.70;True;+1;False
22;4;male;2;Singleplayer;40.21;41.70;1.49;True;+1;False
23;4;male;2;Singleplayer;41.70;43.51;1.81;True;+1;False
24;4;male;2;Singleplayer;43.51;44.75;1.25;True;+1;False
25;4;male;2;Singleplayer;44.75;45.87;1.12;True;-1;False
26;4;male;2;Singleplayer;45.87;48.90;3.02;True;+1;False
27;4;male;2;Singleplayer;48.90;49.88;0.98;True;+1;False
28;4;male;2;Singleplayer;49.88;51.21;1.34;True;-1;False
29;4;male;2;Singleplayer;51.21;53.39;2.18;True;+1;False
30;4;male;2;Singleplayer;53.39;54.71;1.32;True;+1;False
31;4;male;2;Singleplayer;54.71;55.74;1.03;True;+1;False
32;4;male;2;Singleplayer;55.74;56.70;0.96;True;+1;False
33;4;male;2;Singleplayer;56.70;58.11;1.41;True;+1;False
34;4;male;2;Singleplayer;58.11;59.50;1.39;True;+1;False
35;4;male;2;Singleplayer;59.50;62.11;2.60;True;-1;False
36;4;male;2;Singleplayer;62.11;64.63;2.52;True;+1;False
37;4;male;2;Singleplayer;64.63;65.89;1.26;True;+1;False
38;4;male;2;Singleplayer;65.89;66.94;1.05;True;+1;False
39;4;male;2;Singleplayer;66.94;68.52;1.59;True;+1;False
40;4;male;2;Singleplayer;68.52;71.00;2.48;True;+1;False
41;4;male;2;Singleplayer;71.00;73.10;2.10;True;-1;False
42;4;male;2;Singleplayer;73.10;74.56;1.45;True;+1;False
43;4;male;2;Singleplayer;74.56;76.85;2.29;True;+1;False
44;4;male;2;Singleplayer;76.85;78.86;2.01;True;+1;False
45;4;male;2;Singleplayer;78.86;80.62;1.76;True;+1;False
46;4;male;2;Singleplayer;80.62;82.42;1.80;True;+1;False
47;4;male;2;Singleplayer;82.42;84.44;2.02;True;+1;False
48;4;male;2;Singleplayer;84.44;87.60;3.16;True;+1;False
49;4;male;2;Singleplayer;87.60;89.86;2.26;True;+1;False
50;4;male;2;Singleplayer;89.86;91.15;1.29;True;+1;False
51;4;male;2;Singleplayer;91.15;92.36;1.21;True;+1;False
52;4;male;2;Singleplayer;92.36;94.18;1.82;True;+1;False
53;4;male;2;Singleplayer;94.18;95.31;1.13;True;+1;False
54;4;male;2;Singleplayer;95.31;96.38;1.07;True;+1;False
55;4;male;2;Singleplayer;96.38;98.01;1.63;True;+1;False
56;4;male;2;Singleplayer;98.01;99.79;1.78;True;+1;False
57;4;male;2;Singleplayer;99.79;100.92;1.13;True;+1;False
58;4;male;2;Singleplayer;100.92;102.01;1.08;True;+1;False
59;4;male;2;Singleplayer;102.01;102.97;0.96;True;+1;False
60;4;male;2;Singleplayer;102.97;105.42;2.45;True;+1;False
61;4;male;2;Singleplayer;105.42;107.84;2.42;True;+1;False
62;4;male;2;Singleplayer;107.84;109.28;1.44;True;+1;False
63;4;male;2;Singleplayer;109.28;111.35;2.07;True;+1;False
64;4;male;2;Singleplayer;111.35;112.96;1.61;True;+1;False
65;4;male;2;Singleplayer;112.96;114.14;1.18;True;+1;False
66;4;male;2;Singleplayer;114.14;115.68;1.53;True;+1;False
67;4;male;2;Singleplayer;115.68;118.15;2.47;True;-1;False
