Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;12;male;2;Versus;0.00;2.89;2.89;True;-1;False
1;12;male;2;Versus;2.89;5.50;2.61;True;0;False
2;12;male;2;Versus;5.50;8.47;2.97;True;+1;False
3;12;male;2;Versus;8.47;10.19;1.72;True;+1;False
4;12;male;2;Versus;10.19;12.67;2.47;True;+1;False
5;12;male;2;Versus;12.67;15.92;3.26;True;+1;False
6;12;male;2;Versus;15.92;18.84;2.92;True;+1;False
7;12;male;2;Versus;18.84;22.35;3.51;True;+1;False
8;12;male;2;Versus;22.35;24.16;1.81;True;+1;False
9;12;male;2;Versus;24.16;26.20;2.03;True;+1;False
10;12;male;2;Versus;26.20;27.95;1.75;True;+1;False
11;12;male;2;Versus;27.95;29.11;1.16;True;+1;False
12;12;male;2;Versus;29.11;31.35;2.24;True;+1;False
13;12;male;2;Versus;31.35;32.98;1.63;True;+1;False
14;12;male;2;Versus;32.98;35.68;2.70;True;+1;False
15;12;male;2;Versus;35.68;38.21;2.53;True;+1;False
16;12;male;2;Versus;38.21;42.45;4.24;True;0;False
17;12;male;2;Versus;42.45;44.41;1.96;True;+1;False
18;12;male;2;Versus;44.41;46.39;1.98;True;+1;False
19;12;male;2;Versus;46.39;48.82;2.43;True;+1;False
20;12;male;2;Versus;48.82;51.60;2.78;True;+1;False
21;12;male;2;Versus;51.60;55.55;3.96;True;+1;False
22;12;male;2;Versus;55.55;60.54;4.98;True;-1;False
23;12;male;2;Versus;60.54;65.99;5.45;True;+1;False
24;12;male;2;Versus;65.99;71.84;5.86;True;+1;False
25;12;male;2;Versus;71.84;76.33;4.48;True;+1;False
26;12;male;2;Versus;76.33;78.85;2.52;True;+1;False
27;12;male;2;Versus;78.85;80.40;1.55;True;+1;False
28;12;male;2;Versus;80.40;82.95;2.55;True;+1;False
29;12;male;2;Versus;82.95;85.05;2.11;True;+1;False
30;12;male;2;Versus;85.05;89.93;4.87;True;+1;False
31;12;male;2;Versus;89.93;91.59;1.67;True;+1;False
32;12;male;2;Versus;91.59;92.98;1.39;True;+1;False
33;12;male;2;Versus;92.98;94.82;1.84;True;+1;False
34;12;male;2;Versus;94.82;97.16;2.33;True;+1;False
35;12;male;2;Versus;97.16;99.28;2.12;True;+1;False
36;12;male;2;Versus;99.28;100.86;1.58;True;+1;False
37;12;male;2;Versus;100.86;102.64;1.79;True;+1;False
38;12;male;2;Versus;102.64;105.35;2.71;True;+1;False
39;12;male;2;Versus;105.35;109.21;3.86;True;+1;False
40;12;male;2;Versus;109.21;111.49;2.28;True;+1;False
41;12;male;2;Versus;111.49;113.68;2.19;True;+1;False
42;12;male;2;Versus;113.68;115.48;1.80;True;+1;False
43;12;male;2;Versus;115.48;117.26;1.78;True;+1;False
