Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;18;male;3;Singleplayer;0.01;1.55;1.54;True;+1;False
1;18;male;3;Singleplayer;1.55;3.74;2.19;True;+1;False
2;18;male;3;Singleplayer;3.74;5.29;1.55;True;+1;False
3;18;male;3;Singleplayer;5.29;7.19;1.90;True;+1;False
4;18;male;3;Singleplayer;7.19;9.81;2.62;True;+1;False
5;18;male;3;Singleplayer;9.81;11.49;1.68;True;+1;False
6;18;male;3;Singleplayer;11.49;12.92;1.44;True;+1;False
7;18;male;3;Singleplayer;12.92;14.71;1.78;True;-1;False
8;18;male;3;Singleplayer;14.71;16.78;2.07;True;+1;False
9;18;male;3;Singleplayer;16.78;18.43;1.65;True;+1;False
10;18;male;3;Singleplayer;18.43;19.77;1.34;True;+1;False
11;18;male;3;Singleplayer;19.77;20.93;1.16;True;+1;False
12;18;male;3;Singleplayer;20.93;22.01;1.08;True;+1;False
13;18;male;3;Singleplayer;22.01;23.37;1.36;True;+1;False
14;18;male;3;Singleplayer;23.37;26.11;2.74;True;-1;False
15;18;male;3;Singleplayer;26.11;29.27;3.16;True;+1;False
16;18;male;3;Singleplayer;29.27;31.10;1.84;True;+1;False
17;18;male;3;Singleplayer;31.10;32.33;1.23;True;+1;False
18;18;male;3;Singleplayer;32.33;33.90;1.57;True;+1;False
19;18;male;3;Singleplayer;33.90;35.31;1.41;True;+1;False
20;18;male;3;Singleplayer;35.31;36.51;1.20;True;+1;False
21;18;male;3;Singleplayer;36.51;37.58;1.06;True;+1;False
22;18;male;3;Singleplayer;37.58;38.82;1.25;True;+1;False
23;18;male;3;Singleplayer;38.82;40.13;1.30;True;+1;False
24;18;male;3;Singleplayer;40.13;41.73;1.60;True;+1;False
25;18;male;3;Singleplayer;41.73;43.04;1.32;True;+1;False
26;18;male;3;Singleplayer;43.04;44.21;1.17;True;+1;False
27;18;male;3;Singleplayer;44.21;45.89;1.68;True;+1;False
28;18;male;3;Singleplayer;45.89;47.07;1.18;True;+1;False
29;18;male;3;Singleplayer;47.07;48.36;1.29;True;-1;False
30;18;male;3;Singleplayer;48.36;51.21;2.85;True;+1;False
31;18;male;3;Singleplayer;51.21;52.25;1.03;True;+1;False
32;18;male;3;Singleplayer;52.25;53.87;1.63;True;+1;False
33;18;male;3;Singleplayer;53.87;55.67;1.79;True;+1;False
34;18;male;3;Singleplayer;55.67;56.98;1.31;True;+1;False
35;18;male;3;Singleplayer;56.98;58.02;1.05;True;+1;False
36;18;male;3;Singleplayer;58.02;59.80;1.77;True;+1;False
37;18;male;3;Singleplayer;59.80;61.29;1.49;True;+1;False
38;18;male;3;Singleplayer;61.29;62.92;1.63;True;+1;False
39;18;male;3;Singleplayer;62.92;64.58;1.66;True;+1;False
40;18;male;3;Singleplayer;64.58;65.85;1.27;True;+1;False
41;18;male;3;Singleplayer;65.85;67.40;1.55;True;+1;False
42;18;male;3;Singleplayer;67.40;70.30;2.89;True;+1;False
43;18;male;3;Singleplayer;70.30;71.66;1.36;True;+1;False
44;18;male;3;Singleplayer;71.66;72.67;1.01;True;+1;False
45;18;male;3;Singleplayer;72.67;76.58;3.91;True;+1;False
46;18;male;3;Singleplayer;76.58;77.94;1.36;True;+1;False
47;18;male;3;Singleplayer;77.94;79.63;1.69;True;+1;False
48;18;male;3;Singleplayer;79.63;80.85;1.22;True;+1;False
49;18;male;3;Singleplayer;80.85;82.21;1.36;True;+1;False
50;18;male;3;Singleplayer;82.21;83.18;0.96;True;+1;False
51;18;male;3;Singleplayer;83.18;84.21;1.03;True;+1;False
52;18;male;3;Singleplayer;84.21;85.37;1.16;True;+1;False
53;18;male;3;Singleplayer;85.37;87.24;1.88;True;+1;False
54;18;male;3;Singleplayer;87.24;88.99;1.75;True;-1;False
55;18;male;3;Singleplayer;88.99;91.41;2.42;True;+1;False
56;18;male;3;Singleplayer;91.41;92.81;1.40;True;+1;False
57;18;male;3;Singleplayer;92.81;94.75;1.93;True;+1;False
58;18;male;3;Singleplayer;94.75;96.08;1.33;True;+1;False
59;18;male;3;Singleplayer;96.08;97.25;1.18;True;+1;False
60;18;male;3;Singleplayer;97.25;98.80;1.55;True;+1;False
61;18;male;3;Singleplayer;98.80;101.44;2.64;True;-1;False
62;18;male;3;Singleplayer;101.44;103.95;2.51;True;+1;False
63;18;male;3;Singleplayer;103.95;105.01;1.06;True;+1;False
64;18;male;3;Singleplayer;105.01;106.36;1.35;True;+1;False
65;18;male;3;Singleplayer;106.36;108.19;1.83;True;+1;False
66;18;male;3;Singleplayer;108.19;109.24;1.05;True;+1;False
67;18;male;3;Singleplayer;109.24;110.71;1.47;True;+1;False
68;18;male;3;Singleplayer;110.71;112.29;1.58;True;+1;False
69;18;male;3;Singleplayer;112.29;113.83;1.54;True;+1;False
70;18;male;3;Singleplayer;113.83;115.13;1.30;True;+1;False
71;18;male;3;Singleplayer;115.13;117.93;2.80;True;+1;False
72;18;male;3;Singleplayer;117.93;118.98;1.05;True;+1;False
