Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;17;male;1;Versus 2;0.00;1.46;1.46;True;+1;False
1;17;male;1;Versus 2;1.46;3.11;1.65;False;+1;False
2;17;male;1;Versus 2;3.11;5.37;2.26;False;+1;False
3;17;male;1;Versus 2;5.37;6.87;1.50;False;+1;False
4;17;male;1;Versus 2;6.87;8.05;1.18;False;+1;False
5;17;male;1;Versus 2;8.05;9.01;0.96;False;+1;False
6;17;male;1;Versus 2;9.01;9.86;0.86;False;+1;False
7;17;male;1;Versus 2;9.86;12.16;2.29;False;+1;False
8;17;male;1;Versus 2;12.16;13.60;1.44;False;+1;False
9;17;male;1;Versus 2;13.60;14.95;1.35;False;+1;False
10;17;male;1;Versus 2;14.95;17.11;2.16;False;+1;False
11;17;male;1;Versus 2;17.11;18.56;1.46;False;+1;False
12;17;male;1;Versus 2;18.56;19.49;0.93;False;+1;False
13;17;male;1;Versus 2;19.49;20.43;0.93;False;+1;False
14;17;male;1;Versus 2;20.43;21.68;1.25;False;+1;False
15;17;male;1;Versus 2;21.68;23.65;1.97;False;+1;False
16;17;male;1;Versus 2;23.65;25.51;1.86;False;+1;False
17;17;male;1;Versus 2;25.51;27.68;2.17;False;+1;False
18;17;male;1;Versus 2;27.68;30.75;3.08;True;+1;False
19;17;male;1;Versus 2;30.75;31.78;1.03;True;+1;False
20;17;male;1;Versus 2;31.78;32.75;0.97;False;+1;False
21;17;male;1;Versus 2;32.75;33.78;1.02;False;+1;False
22;17;male;1;Versus 2;33.78;35.72;1.95;False;+1;False
23;17;male;1;Versus 2;35.72;37.39;1.67;False;+1;False
24;17;male;1;Versus 2;37.39;39.30;1.91;True;+1;False
25;17;male;1;Versus 2;39.30;40.96;1.65;True;+1;False
26;17;male;1;Versus 2;40.96;42.38;1.42;True;+1;False
27;17;male;1;Versus 2;42.38;43.46;1.08;False;+1;False
28;17;male;1;Versus 2;43.46;45.19;1.73;False;+1;False
29;17;male;1;Versus 2;45.19;46.56;1.37;False;+1;False
30;17;male;1;Versus 2;46.56;48.24;1.68;False;+1;False
31;17;male;1;Versus 2;48.24;49.28;1.04;False;+1;False
32;17;male;1;Versus 2;49.28;50.60;1.32;False;+1;False
33;17;male;1;Versus 2;50.60;51.91;1.31;False;+1;False
34;17;male;1;Versus 2;51.91;52.70;0.79;False;+1;False
35;17;male;1;Versus 2;52.70;53.46;0.76;False;+1;False
36;17;male;1;Versus 2;53.46;55.28;1.82;False;+1;False
37;17;male;1;Versus 2;55.28;56.45;1.17;False;+1;False
38;17;male;1;Versus 2;56.45;57.29;0.84;False;+1;False
39;17;male;1;Versus 2;57.29;59.52;2.23;True;-1;False
40;17;male;1;Versus 2;59.52;61.16;1.64;True;+1;False
41;17;male;1;Versus 2;61.16;63.52;2.36;True;+1;False
42;17;male;1;Versus 2;63.52;64.91;1.39;True;+1;False
43;17;male;1;Versus 2;64.91;66.47;1.56;True;+1;False
44;17;male;1;Versus 2;66.47;67.32;0.85;True;+1;False
45;17;male;1;Versus 2;67.32;69.07;1.75;True;+1;False
46;17;male;1;Versus 2;69.07;70.62;1.55;True;+1;False
47;17;male;1;Versus 2;70.62;72.36;1.74;True;+1;False
48;17;male;1;Versus 2;72.36;74.76;2.40;True;-1;False
49;17;male;1;Versus 2;74.76;78.50;3.74;True;+1;False
50;17;male;1;Versus 2;78.50;79.99;1.49;True;-1;False
51;17;male;1;Versus 2;79.99;81.02;1.04;True;+1;False
52;17;male;1;Versus 2;81.02;82.39;1.37;True;+1;False
53;17;male;1;Versus 2;82.39;83.41;1.02;True;+1;False
54;17;male;1;Versus 2;83.41;85.04;1.63;True;+1;False
55;17;male;1;Versus 2;85.04;86.01;0.97;True;+1;False
56;17;male;1;Versus 2;86.01;88.69;2.67;True;+1;False
57;17;male;1;Versus 2;88.69;90.51;1.83;True;+1;False
58;17;male;1;Versus 2;90.51;93.26;2.75;True;+1;False
59;17;male;1;Versus 2;93.26;94.92;1.66;True;+1;False
60;17;male;1;Versus 2;94.92;97.08;2.17;True;+1;False
61;17;male;1;Versus 2;97.08;98.64;1.56;True;+1;False
62;17;male;1;Versus 2;98.64;101.38;2.74;True;+1;False
63;17;male;1;Versus 2;101.38;102.53;1.15;True;+1;False
64;17;male;1;Versus 2;102.53;104.24;1.71;True;+1;False
65;17;male;1;Versus 2;104.24;105.24;1.00;True;+1;False
66;17;male;1;Versus 2;105.24;106.11;0.87;True;+1;False
67;17;male;1;Versus 2;106.11;107.68;1.58;True;+1;False
68;17;male;1;Versus 2;107.68;108.81;1.13;True;+1;False
69;17;male;1;Versus 2;108.81;109.77;0.96;True;+1;False
70;17;male;1;Versus 2;109.77;110.94;1.17;True;+1;False
71;17;male;1;Versus 2;110.94;112.08;1.13;True;+1;False
72;17;male;1;Versus 2;112.08;113.84;1.76;True;+1;False
73;17;male;1;Versus 2;113.84;115.23;1.39;True;+1;False
74;17;male;1;Versus 2;115.23;116.81;1.58;True;+1;False
75;17;male;1;Versus 2;116.81;117.83;1.02;True;+1;False
76;17;male;1;Versus 2;117.83;119.36;1.53;True;+1;False
