Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;16;male;4;Versus 2;0.00;0.99;0.99;True;+1;False
1;16;male;4;Versus 2;0.99;1.86;0.87;False;+1;False
2;16;male;4;Versus 2;1.86;2.94;1.08;False;+1;False
3;16;male;4;Versus 2;2.94;5.66;2.72;True;+1;False
4;16;male;4;Versus 2;5.66;6.99;1.34;True;-1;False
5;16;male;4;Versus 2;6.99;9.34;2.35;True;+1;False
6;16;male;4;Versus 2;9.34;10.16;0.81;True;+1;False
7;16;male;4;Versus 2;10.16;11.54;1.38;True;+1;False
8;16;male;4;Versus 2;11.54;12.82;1.28;True;+1;False
9;16;male;4;Versus 2;12.82;13.98;1.16;True;+1;False
10;16;male;4;Versus 2;13.98;14.97;0.99;True;+1;False
11;16;male;4;Versus 2;14.97;18.10;3.13;True;+1;False
12;16;male;4;Versus 2;18.10;19.19;1.09;True;+1;False
13;16;male;4;Versus 2;19.19;20.69;1.50;True;+1;False
14;16;male;4;Versus 2;20.69;21.89;1.20;True;+1;False
15;16;male;4;Versus 2;21.89;22.91;1.02;True;+1;False
16;16;male;4;Versus 2;22.91;24.13;1.22;True;+1;False
17;16;male;4;Versus 2;24.13;25.14;1.01;True;+1;False
18;16;male;4;Versus 2;25.14;26.15;1.01;True;+1;False
19;16;male;4;Versus 2;26.15;27.12;0.97;True;+1;False
20;16;male;4;Versus 2;27.12;28.20;1.08;True;+1;False
21;16;male;4;Versus 2;28.20;29.65;1.45;True;+1;False
22;16;male;4;Versus 2;29.65;31.02;1.36;True;+1;False
23;16;male;4;Versus 2;31.02;31.89;0.88;True;+1;False
24;16;male;4;Versus 2;31.89;34.54;2.64;True;+1;False
25;16;male;4;Versus 2;34.54;35.56;1.02;True;+1;False
26;16;male;4;Versus 2;35.56;36.63;1.07;True;+1;False
27;16;male;4;Versus 2;36.63;37.67;1.04;True;-1;False
28;16;male;4;Versus 2;37.67;40.50;2.83;True;-1;False
29;16;male;4;Versus 2;40.50;43.56;3.05;True;+1;False
30;16;male;4;Versus 2;43.56;45.35;1.79;True;+1;False
31;16;male;4;Versus 2;45.35;46.36;1.02;True;+1;False
32;16;male;4;Versus 2;46.36;47.36;1.00;True;+1;False
33;16;male;4;Versus 2;47.36;49.84;2.48;True;+1;False
34;16;male;4;Versus 2;49.84;54.35;4.51;True;+1;False
35;16;male;4;Versus 2;54.35;55.47;1.12;True;+1;False
36;16;male;4;Versus 2;55.47;56.94;1.47;True;-1;False
37;16;male;4;Versus 2;56.94;58.62;1.68;True;+1;False
38;16;male;4;Versus 2;58.62;60.15;1.53;True;+1;False
39;16;male;4;Versus 2;60.15;61.41;1.26;True;+1;False
40;16;male;4;Versus 2;61.41;62.48;1.08;True;+1;False
41;16;male;4;Versus 2;62.48;63.45;0.97;True;+1;False
42;16;male;4;Versus 2;63.45;64.31;0.86;True;+1;False
43;16;male;4;Versus 2;64.31;66.17;1.86;True;+1;False
44;16;male;4;Versus 2;66.17;67.45;1.28;True;+1;False
45;16;male;4;Versus 2;67.45;69.38;1.93;True;+1;False
46;16;male;4;Versus 2;69.38;70.45;1.07;True;+1;False
47;16;male;4;Versus 2;70.45;71.40;0.94;True;+1;False
48;16;male;4;Versus 2;71.40;72.32;0.93;True;+1;False
49;16;male;4;Versus 2;72.32;73.84;1.52;True;+1;False
50;16;male;4;Versus 2;73.84;74.91;1.07;True;+1;False
51;16;male;4;Versus 2;74.91;76.27;1.36;True;-1;False
52;16;male;4;Versus 2;76.27;78.26;1.99;True;+1;False
53;16;male;4;Versus 2;78.26;80.24;1.98;True;+1;False
54;16;male;4;Versus 2;80.24;81.57;1.33;True;+1;False
55;16;male;4;Versus 2;81.57;83.38;1.81;True;-1;False
56;16;male;4;Versus 2;83.38;85.63;2.25;True;+1;False
57;16;male;4;Versus 2;85.63;87.31;1.68;True;+1;False
58;16;male;4;Versus 2;87.31;88.25;0.94;True;+1;False
59;16;male;4;Versus 2;88.25;89.08;0.83;True;+1;False
60;16;male;4;Versus 2;89.08;91.19;2.11;True;+1;False
61;16;male;4;Versus 2;91.19;92.33;1.14;True;+1;False
62;16;male;4;Versus 2;92.33;93.62;1.29;True;+1;False
63;16;male;4;Versus 2;93.62;95.00;1.37;True;+1;False
64;16;male;4;Versus 2;95.00;96.46;1.46;True;+1;False
65;16;male;4;Versus 2;96.46;97.38;0.93;True;+1;False
66;16;male;4;Versus 2;97.38;98.56;1.17;True;+1;False
67;16;male;4;Versus 2;98.56;99.58;1.02;True;+1;False
68;16;male;4;Versus 2;99.58;100.83;1.25;True;+1;False
69;16;male;4;Versus 2;100.83;103.13;2.30;True;+1;False
70;16;male;4;Versus 2;103.13;104.12;0.99;True;+1;False
71;16;male;4;Versus 2;104.12;105.42;1.30;True;-1;False
72;16;male;4;Versus 2;105.42;107.39;1.96;True;+1;False
73;16;male;4;Versus 2;107.39;108.41;1.03;True;+1;False
74;16;male;4;Versus 2;108.41;110.65;2.24;True;+1;False
75;16;male;4;Versus 2;110.65;111.99;1.34;True;+1;False
76;16;male;4;Versus 2;111.99;112.88;0.89;True;+1;False
77;16;male;4;Versus 2;112.88;114.01;1.14;True;+1;False
78;16;male;4;Versus 2;114.01;115.07;1.06;True;+1;False
79;16;male;4;Versus 2;115.07;116.19;1.12;True;+1;False
80;16;male;4;Versus 2;116.19;117.29;1.10;True;+1;False
81;16;male;4;Versus 2;117.29;118.43;1.14;True;+1;False
82;16;male;4;Versus 2;118.43;119.54;1.11;True;+1;False
