Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;7;female;3;Versus;0.01;2.42;2.42;True;+1;False
1;7;female;3;Versus;2.42;10.07;7.65;True;+1;False
2;7;female;3;Versus;10.07;12.59;2.52;True;+1;False
3;7;female;3;Versus;12.59;15.36;2.77;True;+1;False
4;7;female;3;Versus;15.36;18.54;3.18;True;+1;False
5;7;female;3;Versus;18.54;31.20;12.66;True;0;False
6;7;female;3;Versus;31.20;33.88;2.68;True;+1;False
7;7;female;3;Versus;33.88;36.33;2.46;True;+1;False
8;7;female;3;Versus;36.33;38.05;1.72;True;+1;False
9;7;female;3;Versus;38.05;40.44;2.39;True;+1;False
10;7;female;3;Versus;40.44;43.10;2.66;True;+1;False
11;7;female;3;Versus;43.10;44.72;1.62;True;+1;False
12;7;female;3;Versus;44.72;46.28;1.55;True;+1;False
13;7;female;3;Versus;46.28;48.40;2.12;True;+1;False
14;7;female;3;Versus;48.40;51.44;3.04;True;+1;False
15;7;female;3;Versus;51.44;66.33;14.89;True;+1;False
16;7;female;3;Versus;66.33;67.83;1.50;True;+1;False
17;7;female;3;Versus;67.83;72.43;4.60;True;+1;False
18;7;female;3;Versus;72.43;74.85;2.42;True;+1;False
19;7;female;3;Versus;74.85;76.14;1.28;True;+1;False
20;7;female;3;Versus;76.14;77.81;1.67;True;+1;False
21;7;female;3;Versus;77.81;79.03;1.23;True;+1;False
22;7;female;3;Versus;79.03;80.59;1.56;True;+1;False
23;7;female;3;Versus;80.59;82.67;2.08;True;+1;False
24;7;female;3;Versus;82.67;85.39;2.71;True;+1;False
25;7;female;3;Versus;85.39;88.78;3.40;True;+1;False
26;7;female;3;Versus;88.78;90.35;1.56;True;+1;False
27;7;female;3;Versus;90.35;92.21;1.86;True;+1;False
28;7;female;3;Versus;92.21;93.78;1.58;True;+1;False
29;7;female;3;Versus;93.78;96.17;2.39;True;+1;False
30;7;female;3;Versus;96.17;100.85;4.68;True;+1;False
31;7;female;3;Versus;100.85;103.06;2.21;True;+1;False
32;7;female;3;Versus;103.06;107.78;4.72;True;+1;False
33;7;female;3;Versus;107.78;110.35;2.57;True;+1;False
34;7;female;3;Versus;110.35;114.02;3.67;True;-1;False
35;7;female;3;Versus;114.02;115.87;1.85;True;+1;False
36;7;female;3;Versus;115.87;119.66;3.79;True;-1;False
