Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;7;female;4;Halb-Coop;0.00;1.40;1.40;True;+1;False
1;7;female;4;Halb-Coop;1.40;2.94;1.54;False;+1;False
2;7;female;4;Halb-Coop;2.94;4.32;1.38;False;+1;False
3;7;female;4;Halb-Coop;4.32;10.30;5.98;True;+1;False
4;7;female;4;Halb-Coop;10.30;12.43;2.12;True;+1;False
5;7;female;4;Halb-Coop;12.43;17.38;4.95;True;+1;False
6;7;female;4;Halb-Coop;17.38;18.81;1.43;True;+1;False
7;7;female;4;Halb-Coop;18.81;20.60;1.80;True;+1;False
8;7;female;4;Halb-Coop;20.60;22.73;2.13;True;+1;False
9;7;female;4;Halb-Coop;22.73;26.03;3.30;True;-1;False
10;7;female;4;Halb-Coop;26.03;27.58;1.55;True;+1;False
11;7;female;4;Halb-Coop;27.58;34.56;6.98;True;+1;False
12;7;female;4;Halb-Coop;34.56;37.48;2.92;True;+1;False
13;7;female;4;Halb-Coop;37.48;40.03;2.55;True;+1;False
14;7;female;4;Halb-Coop;40.03;41.91;1.88;True;+1;False
15;7;female;4;Halb-Coop;41.91;43.46;1.54;True;+1;False
16;7;female;4;Halb-Coop;43.46;45.07;1.61;True;+1;False
17;7;female;4;Halb-Coop;45.07;47.11;2.04;True;+1;False
18;7;female;4;Halb-Coop;47.11;50.02;2.91;True;-1;False
19;7;female;4;Halb-Coop;50.02;51.42;1.41;True;+1;False
20;7;female;4;Halb-Coop;51.42;52.96;1.54;True;+1;False
21;7;female;4;Halb-Coop;52.96;55.29;2.33;True;+1;False
22;7;female;4;Halb-Coop;55.29;57.44;2.15;True;+1;False
23;7;female;4;Halb-Coop;57.44;58.87;1.42;True;+1;False
24;7;female;4;Halb-Coop;58.87;60.58;1.71;True;0;False
25;7;female;4;Halb-Coop;60.58;68.60;8.02;True;+1;False
26;7;female;4;Halb-Coop;68.60;70.07;1.47;True;+1;False
27;7;female;4;Halb-Coop;70.07;72.32;2.25;True;+1;False
28;7;female;4;Halb-Coop;72.32;74.41;2.08;True;+1;False
29;7;female;4;Halb-Coop;74.41;77.63;3.23;True;+1;False
30;7;female;4;Halb-Coop;77.63;80.74;3.11;True;+1;False
31;7;female;4;Halb-Coop;80.74;82.22;1.47;True;+1;False
32;7;female;4;Halb-Coop;82.22;84.16;1.95;True;+1;False
33;7;female;4;Halb-Coop;84.16;88.76;4.59;True;-1;False
34;7;female;4;Halb-Coop;88.76;92.26;3.51;True;+1;False
35;7;female;4;Halb-Coop;92.26;94.15;1.88;True;+1;False
36;7;female;4;Halb-Coop;94.15;97.51;3.36;True;+1;False
37;7;female;4;Halb-Coop;97.51;99.57;2.06;True;+1;False
38;7;female;4;Halb-Coop;99.57;103.74;4.17;True;+1;False
39;7;female;4;Halb-Coop;103.74;106.72;2.98;True;+1;False
40;7;female;4;Halb-Coop;106.72;108.15;1.43;True;+1;False
41;7;female;4;Halb-Coop;108.15;109.62;1.47;True;+1;False
42;7;female;4;Halb-Coop;109.62;110.92;1.29;True;+1;False
43;7;female;4;Halb-Coop;110.92;112.93;2.02;True;+1;False
44;7;female;4;Halb-Coop;112.93;115.00;2.07;True;+1;False
